[26/07/2024 11:21:25 - INFO] Discord Presence activated
[26/07/2024 11:21:25 - INFO] Creating discord-rpc client
[26/07/2024 11:21:26 - ERROR] Encountered following error while trying to login:
Error: Could not connect
[26/07/2024 11:21:26 - DEBUG] Loading git extension
[26/07/2024 11:21:26 - TRACE] Git extension not activated, activating...
[26/07/2024 11:34:54 - INFO] Disable: Cleaning up old listeners
[26/07/2024 11:34:54 - INFO] Disable: Destroyed the rpc instance
[26/07/2024 11:34:54 - INFO] Enable: Cleaning up old listeners
[26/07/2024 11:34:54 - INFO] Enable: Attempting to recreate login
[26/07/2024 11:34:54 - INFO] Creating discord-rpc client
[26/07/2024 11:34:55 - INFO] Successfully connected to Discord
[26/07/2024 11:34:55 - TRACE] VSCode language id: go
[26/07/2024 11:46:30 - TRACE] VSCode language id: jsonc
[26/07/2024 11:46:30 - TRACE] VSCode language id: jsonc
[26/07/2024 12:15:29 - TRACE] VSCode language id: jsonc
[26/07/2024 12:15:31 - TRACE] VSCode language id: jsonc
[26/07/2024 12:16:05 - TRACE] VSCode language id: go
[26/07/2024 12:16:05 - TRACE] VSCode language id: go
[26/07/2024 12:16:05 - TRACE] VSCode language id: jsonc
