[26/07/2024 16:34:53 - INFO] Discord Presence activated
[26/07/2024 16:34:53 - INFO] Creating discord-rpc client
[26/07/2024 16:34:53 - INFO] Successfully connected to Discord
[26/07/2024 16:34:53 - DEBUG] Loading git extension
[26/07/2024 16:34:53 - TRACE] Git extension not activated, activating...
[26/07/2024 16:34:53 - DEBUG] Loading git extension
[26/07/2024 16:34:53 - TRACE] Git extension not activated, activating...
[26/07/2024 16:34:53 - TRACE] VSCode language id: html
[26/07/2024 16:36:12 - TRACE] VSCode language id: json
[26/07/2024 16:36:44 - TRACE] VSCode language id: html
[26/07/2024 16:41:52 - TRACE] VSCode language id: json
[26/07/2024 16:42:00 - TRACE] VSCode language id: html
[26/07/2024 16:43:48 - TRACE] VSCode language id: go
[26/07/2024 16:44:57 - TRACE] VSCode language id: html
[26/07/2024 16:45:00 - TRACE] VSCode language id: go
[26/07/2024 16:48:28 - TRACE] VSCode language id: go
[26/07/2024 16:48:30 - TRACE] VSCode language id: go
[26/07/2024 16:48:32 - TRACE] VSCode language id: go
[26/07/2024 16:48:35 - TRACE] VSCode language id: go
[26/07/2024 16:48:37 - TRACE] VSCode language id: go
[26/07/2024 16:48:39 - TRACE] VSCode language id: go
[26/07/2024 16:50:48 - TRACE] VSCode language id: html
[26/07/2024 16:51:32 - TRACE] VSCode language id: html
[26/07/2024 16:51:34 - TRACE] VSCode language id: html
[26/07/2024 16:51:36 - TRACE] VSCode language id: html
[26/07/2024 16:51:38 - TRACE] VSCode language id: html
[26/07/2024 16:51:40 - TRACE] VSCode language id: html
[26/07/2024 16:51:43 - TRACE] VSCode language id: html
[26/07/2024 16:51:45 - TRACE] VSCode language id: html
[26/07/2024 16:51:46 - TRACE] VSCode language id: html
[26/07/2024 16:51:48 - TRACE] VSCode language id: html
[26/07/2024 16:51:50 - TRACE] VSCode language id: html
[26/07/2024 16:51:55 - TRACE] VSCode language id: html
[26/07/2024 16:51:57 - TRACE] VSCode language id: html
[26/07/2024 16:51:59 - TRACE] VSCode language id: html
[26/07/2024 16:52:12 - TRACE] VSCode language id: html
[26/07/2024 16:52:14 - TRACE] VSCode language id: html
[26/07/2024 16:52:40 - TRACE] VSCode language id: html
[26/07/2024 16:52:42 - TRACE] VSCode language id: html
[26/07/2024 16:52:53 - TRACE] VSCode language id: go
[26/07/2024 16:52:57 - TRACE] VSCode language id: go
[26/07/2024 16:52:59 - TRACE] VSCode language id: go
[26/07/2024 16:54:36 - TRACE] VSCode language id: html
[26/07/2024 16:54:40 - TRACE] VSCode language id: html
[26/07/2024 16:54:42 - TRACE] VSCode language id: html
[26/07/2024 16:54:43 - TRACE] VSCode language id: html
[26/07/2024 16:54:45 - TRACE] VSCode language id: html
[26/07/2024 16:54:46 - TRACE] VSCode language id: html
[26/07/2024 16:54:48 - TRACE] VSCode language id: html
[26/07/2024 16:54:50 - TRACE] VSCode language id: html
[26/07/2024 16:54:52 - TRACE] VSCode language id: html
[26/07/2024 16:55:05 - TRACE] VSCode language id: html
[26/07/2024 16:55:07 - TRACE] VSCode language id: html
[26/07/2024 16:56:02 - TRACE] VSCode language id: html
[26/07/2024 16:56:04 - TRACE] VSCode language id: html
[26/07/2024 16:56:06 - TRACE] VSCode language id: html
[26/07/2024 17:08:33 - TRACE] VSCode language id: html
[26/07/2024 17:08:35 - TRACE] VSCode language id: html
[26/07/2024 17:08:37 - TRACE] VSCode language id: html
[26/07/2024 17:08:48 - TRACE] VSCode language id: html
[26/07/2024 17:08:50 - TRACE] VSCode language id: html
[26/07/2024 17:08:53 - TRACE] VSCode language id: html
[26/07/2024 17:11:04 - TRACE] VSCode language id: html
[26/07/2024 17:11:06 - TRACE] VSCode language id: html
[26/07/2024 17:11:09 - TRACE] VSCode language id: html
[26/07/2024 17:11:48 - TRACE] VSCode language id: html
[26/07/2024 17:11:50 - TRACE] VSCode language id: html
[26/07/2024 17:12:15 - TRACE] VSCode language id: html
[26/07/2024 17:12:17 - TRACE] VSCode language id: html
[26/07/2024 17:12:31 - TRACE] VSCode language id: html
[26/07/2024 17:12:33 - TRACE] VSCode language id: html
[26/07/2024 17:12:37 - TRACE] VSCode language id: html
[26/07/2024 17:12:39 - TRACE] VSCode language id: html
[26/07/2024 17:12:43 - TRACE] VSCode language id: html
[26/07/2024 17:12:45 - TRACE] VSCode language id: html
[26/07/2024 17:13:17 - TRACE] VSCode language id: html
[26/07/2024 17:13:19 - TRACE] VSCode language id: html
[26/07/2024 17:13:21 - TRACE] VSCode language id: html
[26/07/2024 17:13:24 - TRACE] VSCode language id: html
[26/07/2024 17:13:26 - TRACE] VSCode language id: html
[26/07/2024 17:13:28 - TRACE] VSCode language id: html
[26/07/2024 17:18:58 - TRACE] VSCode language id: html
[26/07/2024 17:19:00 - TRACE] VSCode language id: html
[26/07/2024 17:21:02 - TRACE] VSCode language id: html
[26/07/2024 17:21:04 - TRACE] VSCode language id: html
[26/07/2024 17:21:09 - TRACE] VSCode language id: html
[26/07/2024 17:21:13 - TRACE] VSCode language id: html
[26/07/2024 17:21:16 - TRACE] VSCode language id: html
[26/07/2024 17:21:18 - TRACE] VSCode language id: html
[26/07/2024 17:21:20 - TRACE] VSCode language id: html
[26/07/2024 17:21:42 - TRACE] VSCode language id: html
[26/07/2024 17:21:44 - TRACE] VSCode language id: html
[26/07/2024 17:21:46 - TRACE] VSCode language id: html
[26/07/2024 17:21:54 - TRACE] VSCode language id: html
[26/07/2024 17:21:56 - TRACE] VSCode language id: html
[26/07/2024 17:55:48 - TRACE] VSCode language id: html
